电影名称,导演,主演,评分,评价人数,quote,pic
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫,8.8,798220人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg
头脑特工队,,,8.8,801979人评价,愿我们都不用长大，每一座城堡都能永远存在。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg
未麻的部屋,今敏 Satoshi Kon,岩男润子,9.1,423187人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
重庆森林,王家卫 Kar Wai Wong,林青霞,8.8,920064人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,志田未来,8.9,625911人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
入殓师,泷田洋二郎 Yôjirô Takita,本木雅弘,8.9,741514人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg
菊次郎的夏天,北野武 Takeshi Kitano,北野武,8.9,671737人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
断背山,李安 Ang Lee,希斯·莱杰,8.8,780662人评价,每个人心中都有一座断背山。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.jpg
剪刀手爱德华,蒂姆·波顿 Tim Burton,约翰尼·德普,8.7,1118434人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
勇敢的心,梅尔·吉布森 Mel Gibson,梅尔·吉布森,8.9,604423人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森,8.8,789648人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
